provider,eth
​0x145b8D0FE270b7BC4C362ECfA12E5F97E6788c48,44.67
​0x8761e0DD63d14cf566aCf4b730f3540f164B6b56,18.78
​0xeC6E6c0841a2bA474E92Bf42BaF76bFe80e8657C,15.26
​0x009B56330aE5ec5042B9ca46Ddb3043cC0D006F3,9.38
​0x29c7B44E0584624C1e877d3eE0856520e2851Ba6,5.23
​0x36034Cba5413c0678b8256aCd0a87Af4E9D0873A,3.65
​0x6cAa802c6895ECD31601518C7f6B9eF6f9349238,2.66
​0x0Bb75bEf057da63a0ae4B25fe9aDaFd35cd92B87,1.78
​0x54F50320f5De1420361C2f09285AE5be513a067A,1.51
​0xd4BC78aE16E43e16cBE29DB734dBb27F69C15FCF,1.35
​0xE653659b4EECFE41B5AFeBbb2E55F3BD82032B37,1.22
​0x26A6dC267e276Fded7b40251C8fc08B1b40df367,1.20
Other,9.63
