provider,eth
​0x49a2DcC237a65Cc1F412ed47E0594602f6141936,1626.17
​0x04270F910Cb26d18Fe353D106a91030Ee9A089fA,1165.73
​0x79317fC0fB17bC0CE213a2B50F343e4D4C277704,1027.69
​0xf1AeB5D0B299974F2b8258A4e10dc8112A750b91,817.37
​0x86F35cbfA96D6D143055B787c188Cc49d6E6570A,778.04
​0x588f7dd3012Eb0351bD8B71A202E58898fC986D9,775.84
​0xD5684Ae2a4a722B8B31168AcF6fF3477617073ea,676.51
​0xbbD9FB5A548e09D0B6E8B8197e38c5ac925cc973,567.83
​0x285306442cD985Cab2C30515CFdAB106Fca7bc44,487.42
​0x46499275b5c4d67dfa46B92D89aADA3158ea392e,422.62
​0x32CcF7b92ED79bcf506b090F5f1b93c822fAC612,402.97
​0x9c5083dd4838E120Dbeac44C052179692Aa5dAC5,344.29
​0x9a82aA6eDbC473a883B8906Bf41084c9c1B760F2,302.23
​0xb616086F87478c5dc1C7Ac1fa904ba934ea50E8F,239.09
​0x9504F364982930443406b9aB86a502Dd1D2f4C8d,210.09
​0x30a8FA3f7357C1A73864e82686487896D5D9a149,205.36
​0x05E2461c8c10138aEE241268f28dE6003D3DBAdB,200.83
​0x19eE7696D2a71548A7f1FC9cef644460d7e73297,188.61
​0xF28D35ee2cD7Ed1605D0f6C4e7e781720502533b,168.76
​0x70E78fB9d8615c4d38EE818faeD61918018ecBFB,150.61
Other,4077.11
