provider,eth
​0x145b8D0FE270b7BC4C362ECfA12E5F97E6788c48,62.56
​0x387f28c3560464FbA2dcbAC7BfE331F023108bd9,41.02
​0x062d3A310386c91b51Ab0EEb3A3eDBa5028DEaC1,32.08
​0x268Cb4c8B97DA9d146702D84501A64F597A3aa14,19.20
​0x29c7B44E0584624C1e877d3eE0856520e2851Ba6,14.19
​0x20943A7fBDcB4B84Ea553C13D765cD4AdAee709b,12.13
​0xd4BC78aE16E43e16cBE29DB734dBb27F69C15FCF,7.23
​0xf39d42948501fA28756eFe188B9648A6C8Ad9c9d,6.20
​0x6221d51b7DafDBdfc8dC0c40e2265D1557ED90A0,6.03
​0xc92808f555f937dc26b4CbC3Abda703b0Ad45F66,5.74
​0xDA1480828D9EfEb694DA1809b1bB251CF5eB7441,4.52
​0xf7801B408c5e3D352E9D67eE2774ae82800BC2D7,4.42
​0x30086c39930C0708B83e2C31Ee080505D843aC8C,4.30
​0xC96Ca949990e7E3B689Ce5fd309a340514D51bC8,3.43
​0xf5fE40D804F942781f243E62491c8fDCeaccB6E7,3.32
​0xCc423FEE0Ce3165C81Af5a2c3C768072037cC699,3.30
Other,42.70
