provider,eth
​0x03C2Bc72A3E007179E54fFb4563cc235beC8151a,7.13
​0x780d813b492236042b588dE8C1736A647459eBA5,4.43
​0x09e329413234E621aA810481b271ab80e1fB4AE4,3.98
​0xECB032DF1ab4Fb7cDD486Afbd5D1445c7b2e220F,3.89
​0x5eDA2dc136986Fc88D4DF5696bC464f96A20268A,3.48
​0xeCCB4ed81377d9b383a8B4c54D8cE15dF3D173cA,3.04
​0x1360fe6F61607a9D51eF54b4797e3401d5364cf3,2.85
​0x68B4683475747E28a83596e94b58187d452099Cf,2.59
​0x064D3230f753D8C14e06Cf491fE2F1a3D2CCD5DD,2.54
​0xD0Ccf7d3DA82bD1BdE58cfcaF8fDCc53F1435140,2.36
​0x476e23bFc5415397021a74e525640b328A12b81e,2.26
​0x8E3E3320Bd3F8c48b334724a037688d9df2E7682,2.02
​0x4677C06757a2059c7b750fd5b59c2E65Bf1851B3,1.90
​0x29Aec2E84d9F5AA21d423DdB80e400CAE1A49d48,1.78
​0xcCFd18d6CCb3e46a6DDEe5908E1034CD9EE5F1C8,1.70
​0xFF3Db9641A1AEeC4960dc0A4EFB84510DDf4e4F0,1.67
​0xDAe2926D8e50f7BA90A500748608E62b3FF0b996,1.62
​0x9a41DeA12BaC583Fa1b5e86480E0410226E8D8F1,1.50
​0xFB40932271Fc9Db9DbF048E80697E2Da4AA57250,1.46
​0x48e9760E7f684e0c70b2B880181C124b9cD4864f,1.29
​0x8711aE1F332541209bC6109c2E7B9Ae4a6C37E28,1.17
​0x8924a229e2191B06EA1aED8EBa5382eBf352F190,1.16
​0xB42C464652683B3e8C725e9AEAE096c3179a4A5c,1.14
​0x5326131D66fD6D0557508A69f6B7d97df4c0ffD6,1.10
​0xaAf2BE02FbcF9837361cAd6Bd08dbBB139395140,1.00
​0x32b7d2F7F4ECfDF3e9d9bE72f6a95B57172BF222,0.97
​0x09F9f497A4A37746ace0B4B02a4a4Ae15d4511bc,0.96
​0xD797f5ACF55291b2003827bD57B53AD11Bfa96Bf,0.96
​0x249Dd37D97ab9649aA90608a2bB080246ee60a2a,0.90
​0xFbf8Ec2dD4CcE262c27af27d5E4Ef23A631E77bd,0.86
​0x7233E0D88Eb304ECD1156089e1d39bBDb1223463,0.85
​0x733a589724c8613fF4b9C6279d64017F061A60c5,0.78
Other,7.78
