provider,eth
​0x0fCCef1C29dEDdB1E2A007Ee9C1EDf63149aA6b3,892.81
​0x285306442cD985Cab2C30515CFdAB106Fca7bc44,775.93
​0x0B6971e7d1edF1dFE4d501151D59a1F7ee30651E,330.08
​0x4F9a04Bf67a65A59Ef0beB8dcC83f7f3cC5C5D23,110.06
​0x145b8D0FE270b7BC4C362ECfA12E5F97E6788c48,65.94
​0x75a3D2B6865488614D0C52d0359673b2EaFB6F4B,50.50
​0x7Cf20A1BB4CAE92Df714eAf760814860eD5f785F,48.81
​0x02bF424DEF13DcaBa606493fc940aE432FB2283c,42.24
​0x009B56330aE5ec5042B9ca46Ddb3043cC0D006F3,35.76
​0x97e9391501f5e33Cba6e449A66953F025A1eD0Ef,31.72
​0xD9A4693bc2D2b0246F931CD307d2bc53328cd73D,30.89
​0x596888345c9e3c6F7d0F4E5d8590941E2CAb52e8,30.60
​0xA7B21443727954016d0eAaE236bf9659Eb0AC1aD,29.03
Other,133.45
