provider,eth
​0x75a3D2B6865488614D0C52d0359673b2EaFB6F4B,15.18
​0x4dd84B830f146CA35051D44CCCA329068eb20cd5,12.60
​0x311BF6E6B6d416a808adF524b2fBa791BF257E19,6.75
​0x0052E9EAF5B7Df76e2c9d90EA179d464af6E1866,6.39
​0xcf27ec0AE6F3C4AFf868b2A19F8dad58CdC8730c,5.49
​0x96f77C60684bd2Fb3335f33FBA1296450b2525Ee,3.31
​0x32c6B5db05b98907A29BAeb7d09C79c95498B17a,2.54
​0x2FEF0A75D323caA13612447e8e2Dc5AB2C8B2676,2.52
​0xAe09159C02C7DD954F42Edec25c602DA2776256b,2.35
​0x97b28da6Ac470F252fadC95F408C08373eD6d2fC,2.32
​0xBbef0889867d7Db133A07260574d744a91403a7e,2.29
​0x33720677a10c91236151379C4F5dD748dA6fe881,1.51
​0x20d9e4E24333410420904E1d5F76AAea9Aa1a052,1.26
​0x8C219C796497677Eb4c6A50B8e98cB662aE5a717,1.18
​0xd864DECA1d6869168Ef98f3500195A91b1e43E38,1.07
​0x082d3e0f04664b65127876e9A05e2183451c792a,1.07
​0xA9B4e8C355e1122ED2d4222252C2e47E48162e40,0.89
Other,14.37
